,smiles
77,CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C#N)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21
78,CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc21
79,CC1(C)c2cc(C=C(C#N)C(=O)O)sc2-c2sc(-c3ccc(N(c4ccc(N5c6ccccc6Sc6ccccc65)cc4)c4ccc(N5c6ccccc6Sc6ccccc65)cc4)cc3)cc21
80,CC1(C)c2cc(N(c3ccccc3)c3ccccc3)ccc2-c2cc3c(C#N)c4cc5c(cc4c(C#N)c3cc21)-c1ccc(N(c2ccccc2)c2ccccc2)cc1C5(C)C
81,CC1(C)c2cc3c(cc2-c2sccc21)C(C)(C)c1cc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc45)s2)sc1-3
82,CC1(C)c2cc3c(cc2-c2sccc21)C(C)(C)c1cc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)sc1-3
83,CC1(C)c2cc3c(cc2-c2sccc21)C(C)(C)c1cc(-c2ccc(-c4nnc(-c5cccs5)nn4)s2)sc1-3
84,CC1(C)c2cc3c(cc2-c2sccc21)C(C)(C)c1cc(-c2cccc4nsnc24)sc1-3
85,CC1(C)c2ccc(-c3csc(C4C(=O)C(N)=C5C(=O)C(c6cccs6)=C(N)N54)c3)cc2NC1N
86,CC1(C)c2ccccc2-c2c1cc1c3c4cc5ccccc5cc4c4c5c(cc(c6c7cc8ccccc8cc7c2c16)c43)C(C)(C)c1ccccc1-5
87,CC1(C)c2ccccc2-c2c1cc1c3cc4c(c5cccc(c6cccc2c61)c35)c1ccccc1n4-c1cnc(-c2ccccc2)nc1-c1ccccc1
88,CC1(C)c2ccccc2-c2c1cc1c3cc4c(c5cccc(c6cccc2c61)c35)c1ccccc1n4-c1nc(-c2ccc3c(ccc4ccccc43)c2)c2ccccc2n1
